id,CPSI_verse,CPSI_chorus,version,year
2,0.733811,1.132485,top10v222,2012
3,0.917064,1.398141,top10v222,2012
4,0.889714,1.25204,top10v222,2012
5,0.733811,1.192675,top10v222,2012
6,1.598701,1.431072,top10v222,2012
7,2.038412,2.016304,top10v222,2012
8,0.905105,1.132485,top10v222,2012
9,1.295618,1.25204,top10v222,2012
10,1.118801,1.388578,top10v222,2012
0,2.015314,2.224745,top10v231,2012
1,1.298322,1.956943,top10v231,2012
2,0.879653,2.0,top10v231,2012
3,1.755075,1.06066,top10v231,2012
4,1.216995,0.57735,top10v231,2012
5,1.418677,1.870829,top10v231,2012
6,1.080123,0.883883,top10v231,2012
7,1.597014,1.718425,top10v231,2012
8,1.581139,0.935414,top10v231,2012
9,1.0,1.761199,top10v231,2012
10,1.562456,0.471405,top10v231,2012
0,0.881917,0.909059,top10v232,2012
1,1.160699,1.312335,top10v232,2012
2,1.232207,1.178511,top10v232,2012
3,1.13154,1.404358,top10v232,2012
4,1.047069,0.740683,top10v232,2012
5,1.742045,1.781463,top10v232,2012
6,1.047069,1.172604,top10v232,2012
7,1.160699,1.389444,top10v232,2012
8,0.881917,0.740683,top10v232,2012
9,1.433721,1.404358,top10v232,2012
10,1.434629,0.756339,top10v232,2012
0,1.720973,1.778436,top20v111,2012
1,1.710436,1.680953,top20v111,2012
2,1.457688,1.598155,top20v111,2012
3,1.665283,1.428208,top20v111,2012
4,1.518203,1.486414,top20v111,2012
5,1.543956,1.553691,top20v111,2012
6,1.912811,1.421015,top20v111,2012
7,1.823479,1.855589,top20v111,2012
8,1.539696,1.467532,top20v111,2012
9,1.716196,1.590646,top20v111,2012
10,1.511144,1.346391,top20v111,2012
11,1.666542,2.24885,top20v111,2012
12,1.345174,1.480908,top20v111,2012
13,1.497131,1.767405,top20v111,2012
14,1.561876,1.549199,top20v111,2012
15,1.776906,1.700789,top20v111,2012
16,1.730918,1.517318,top20v111,2012
17,1.893362,1.894972,top20v111,2012
18,1.577484,1.570852,top20v111,2012
19,1.707161,1.572057,top20v111,2012
0,2.033921,2.161807,top20v112,2012
1,2.069745,2.05303,top20v112,2012
2,1.51662,1.706244,top20v112,2012
3,1.585363,1.860336,top20v112,2012
4,1.723429,1.784154,top20v112,2012
5,1.64953,1.729587,top20v112,2012
6,2.077434,1.903098,top20v112,2012
7,2.378187,2.503034,top20v112,2012
8,1.467396,1.899312,top20v112,2012
9,1.80402,1.782741,top20v112,2012
10,1.733041,1.867808,top20v112,2012
11,2.161165,2.778905,top20v112,2012
12,1.553842,1.767289,top20v112,2012
13,1.628341,1.899436,top20v112,2012
14,1.634196,1.693519,top20v112,2012
15,1.979401,1.991798,top20v112,2012
16,1.907838,1.749477,top20v112,2012
17,2.304828,2.407543,top20v112,2012
18,1.750867,1.942301,top20v112,2012
19,1.888502,1.904856,top20v112,2012
0,1.777731,1.810775,top20v121,2012
1,1.87149,1.751248,top20v121,2012
2,1.482477,1.659592,top20v121,2012
3,1.704008,1.444633,top20v121,2012
4,1.536261,1.459132,top20v121,2012
5,1.563227,1.591894,top20v121,2012
6,1.906736,1.37581,top20v121,2012
7,1.840981,1.850048,top20v121,2012
8,1.574044,1.505356,top20v121,2012
9,1.690823,1.573119,top20v121,2012
10,1.527651,1.329325,top20v121,2012
11,1.656478,2.22252,top20v121,2012
12,1.314869,1.449125,top20v121,2012
13,1.491608,1.760987,top20v121,2012
14,1.587936,1.56648,top20v121,2012
15,1.777028,1.696709,top20v121,2012
16,2.035873,1.470122,top20v121,2012
17,1.922815,1.903056,top20v121,2012
18,1.620186,1.564221,top20v121,2012
19,1.739332,1.578143,top20v121,2012
0,2.098513,2.176003,top20v122,2012
1,2.216233,2.13196,top20v122,2012
2,1.549461,1.689688,top20v122,2012
3,1.743867,1.916434,top20v122,2012
4,1.756746,1.737693,top20v122,2012
5,1.737472,1.743255,top20v122,2012
6,2.097711,1.933031,top20v122,2012
7,2.398044,2.498642,top20v122,2012
8,1.515531,1.688918,top20v122,2012
9,1.818656,1.75369,top20v122,2012
10,1.755127,1.822401,top20v122,2012
11,1.887905,2.748924,top20v122,2012
12,1.587308,1.732691,top20v122,2012
13,1.634963,1.843713,top20v122,2012
14,1.740729,1.718753,top20v122,2012
15,1.962859,1.941815,top20v122,2012
16,2.666357,1.611914,top20v122,2012
17,2.352787,2.416036,top20v122,2012
18,1.890173,1.895628,top20v122,2012
19,1.946107,1.864716,top20v122,2012
0,2.347524,2.377579,top20v131,2012
1,1.721934,2.054278,top20v131,2012
2,1.494387,2.328265,top20v131,2012
3,2.175079,1.791184,top20v131,2012
4,1.627831,1.719097,top20v131,2012
5,1.870992,1.972071,top20v131,2012
6,1.607881,1.543098,top20v131,2012
7,1.839709,1.88546,top20v131,2012
8,2.014902,1.828852,top20v131,2012
9,1.922234,1.971055,top20v131,2012
10,1.750918,1.611558,top20v131,2012
11,2.037917,1.775021,top20v131,2012
12,1.545482,1.705154,top20v131,2012
13,1.620586,1.643869,top20v131,2012
