index,CPSI,version,year,type
12,1.368171,top20v211,2012,verse
13,1.562594,top20v211,2012,verse
14,1.64379,top20v211,2012,verse
15,1.832265,top20v211,2012,verse
16,1.788527,top20v211,2012,verse
17,1.970942,top20v211,2012,verse
18,1.619212,top20v211,2012,verse
19,1.75356,top20v211,2012,verse
0,2.049476,top20v212,2012,verse
1,2.104424,top20v212,2012,verse
2,1.524704,top20v212,2012,verse
3,1.577424,top20v212,2012,verse
4,1.723518,top20v212,2012,verse
5,1.655295,top20v212,2012,verse
6,2.075422,top20v212,2012,verse
7,2.406717,top20v212,2012,verse
8,1.475926,top20v212,2012,verse
9,1.822725,top20v212,2012,verse
10,1.748993,top20v212,2012,verse
11,2.170989,top20v212,2012,verse
12,1.562617,top20v212,2012,verse
13,1.637934,top20v212,2012,verse
14,1.630537,top20v212,2012,verse
15,1.995789,top20v212,2012,verse
16,1.924422,top20v212,2012,verse
17,2.31602,top20v212,2012,verse
18,1.769943,top20v212,2012,verse
19,1.901616,top20v212,2012,verse
0,1.878997,top20v221,2012,verse
1,1.955885,top20v221,2012,verse
2,1.518933,top20v221,2012,verse
3,1.756986,top20v221,2012,verse
4,1.553726,top20v221,2012,verse
5,1.597657,top20v221,2012,verse
6,1.9259,top20v221,2012,verse
7,1.92998,top20v221,2012,verse
8,1.651256,top20v221,2012,verse
9,1.752497,top20v221,2012,verse
10,1.599174,top20v221,2012,verse
11,1.723904,top20v221,2012,verse
12,1.350547,top20v221,2012,verse
13,1.557048,top20v221,2012,verse
14,1.666948,top20v221,2012,verse
15,1.831173,top20v221,2012,verse
16,2.098552,top20v221,2012,verse
17,1.998538,top20v221,2012,verse
18,1.672655,top20v221,2012,verse
19,1.790703,top20v221,2012,verse
0,2.115507,top20v222,2012,verse
1,2.249168,top20v222,2012,verse
2,1.562513,top20v222,2012,verse
3,1.739368,top20v222,2012,verse
4,1.756127,top20v222,2012,verse
5,1.750152,top20v222,2012,verse
6,2.09689,top20v222,2012,verse
7,2.427851,top20v222,2012,verse
8,1.525103,top20v222,2012,verse
9,1.839984,top20v222,2012,verse
10,1.77091,top20v222,2012,verse
11,1.900527,top20v222,2012,verse
12,1.606061,top20v222,2012,verse
13,1.646451,top20v222,2012,verse
14,1.734706,top20v222,2012,verse
15,1.979437,top20v222,2012,verse
16,2.685667,top20v222,2012,verse
17,2.363966,top20v222,2012,verse
18,1.916809,top20v222,2012,verse
19,1.962063,top20v222,2012,verse
0,2.357421,top20v231,2012,verse
1,1.770628,top20v231,2012,verse
2,1.506788,top20v231,2012,verse
3,2.188934,top20v231,2012,verse
4,1.640618,top20v231,2012,verse
5,1.884458,top20v231,2012,verse
6,1.671095,top20v231,2012,verse
7,1.879073,top20v231,2012,verse
8,2.020611,top20v231,2012,verse
9,1.926672,top20v231,2012,verse
10,1.795479,top20v231,2012,verse
11,2.050337,top20v231,2012,verse
12,1.565233,top20v231,2012,verse
13,1.655072,top20v231,2012,verse
14,1.844289,top20v231,2012,verse
15,2.224453,top20v231,2012,verse
16,1.950721,top20v231,2012,verse
17,1.770324,top20v231,2012,verse
18,1.728211,top20v231,2012,verse
19,2.259783,top20v231,2012,verse
0,1.464289,top20v232,2012,verse
1,1.428873,top20v232,2012,verse
2,1.640706,top20v232,2012,verse
3,1.521729,top20v232,2012,verse
4,1.5345,top20v232,2012,verse
5,1.780752,top20v232,2012,verse
6,1.457163,top20v232,2012,verse
7,1.53041,top20v232,2012,verse
8,1.446402,top20v232,2012,verse
9,1.747637,top20v232,2012,verse
10,1.615059,top20v232,2012,verse
11,1.352568,top20v232,2012,verse
12,1.438293,top20v232,2012,verse
13,1.715997,top20v232,2012,verse
14,1.522645,top20v232,2012,verse
15,1.39056,top20v232,2012,verse
16,1.466535,top20v232,2012,verse
17,1.573984,top20v232,2012,verse
18,1.433094,top20v232,2012,verse
19,1.538651,top20v232,2012,verse
0,1.605107,top10v111,2012,chorus
1,1.348835,top10v111,2012,chorus
2,0.901763,top10v111,2012,chorus
3,0.910825,top10v111,2012,chorus
4,0.761456,top10v111,2012,chorus
5,0.60482,top10v111,2012,chorus
6,0.662291,top10v111,2012,chorus
7,1.604985,top10v111,2012,chorus
8,0.626908,top10v111,2012,chorus
9,0.983938,top10v111,2012,chorus
10,0.662291,top10v111,2012,chorus
0,1.652315,top10v112,2012,chorus
1,1.411836,top10v112,2012,chorus
2,1.105237,top10v112,2012,chorus
3,1.181837,top10v112,2012,chorus
4,1.291779,top10v112,2012,chorus
5,1.105237,top10v112,2012,chorus
6,1.455692,top10v112,2012,chorus
7,2.000686,top10v112,2012,chorus
8,1.405257,top10v112,2012,chorus
9,1.291779,top10v112,2012,chorus
10,1.456281,top10v112,2012,chorus
0,1.636966,top10v121,2012,chorus
1,1.541752,top10v121,2012,chorus
2,1.120403,top10v121,2012,chorus
3,0.638859,top10v121,2012,chorus
4,0.407638,top10v121,2012,chorus
5,0.850708,top10v121,2012,chorus
6,0.662291,top10v121,2012,chorus
7,1.604985,top10v121,2012,chorus
8,0.626908,top10v121,2012,chorus
9,0.983938,top10v121,2012,chorus
10,0.407638,top10v121,2012,chorus
0,1.72651,top10v122,2012,chorus
1,1.722558,top10v122,2012,chorus
2,1.132007,top10v122,2012,chorus
3,1.407149,top10v122,2012,chorus
